CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0152,0.9917852894572377,C0107,0.945496697125453,C0174,0.9313937115698868
C0002,C0134,0.9621203308045908,C0106,0.9284638998541984,C0159,0.9110165642083544
C0003,C0052,0.9708910685877357,C0129,0.9063487821595342,C0085,0.8679702447960002
C0004,C0113,0.968062693420116,C0099,0.9505367697834806,C0155,0.9474299166189872
C0005,C0159,0.9813749015934503,C0027,0.9599321513899808,C0002,0.906252003680838
C0006,C0158,0.9071773036414281,C0186,0.9048025855825665,C0148,0.8896970446500475
C0007,C0005,0.9007774081645233,C0027,0.8894934651164457,C0040,0.8718960219841274
C0008,C0098,0.9183453269638685,C0156,0.8864565907074289,C0109,0.8859520168528142
C0009,C0121,0.9738457731322073,C0010,0.9150733918601853,C0060,0.9114952466885554
C0010,C0198,0.9877784034015694,C0009,0.9150733918601853,C0121,0.90893920124231
C0011,C0174,0.9226562435340687,C0133,0.9139045024942939,C0169,0.9102505206835901
C0012,C0126,0.9634298733072026,C0194,0.9408288417819668,C0013,0.9260246131901045
C0013,C0087,0.9629264573477593,C0012,0.9260246131901045,C0126,0.924839912190771
C0014,C0062,0.8466535721119062,C0073,0.8371872676724649,C0058,0.8153427604183427
C0015,C0036,0.9247955270384982,C0033,0.8895201176334104,C0042,0.8490686690116702
C0016,C0182,0.9994168223018111,C0026,0.9143756324720967,C0072,0.8959471369015313
C0017,C0075,0.958885276218408,C0051,0.9107698758203177,C0124,0.8980317914942887
C0018,C0117,0.9650375293960083,C0026,0.8787074430549162,C0046,0.8469618657883438
C0019,C0103,0.8860977380977976,C0119,0.8796696375995798,C0086,0.8759882314873159
C0020,C0144,0.9537699819201039,C0058,0.9100104256983991,C0110,0.8102861091945723
